Opening Survey Data,,,,,,,,,,,,,,
Timestamp,userID,uid,age,sex,computerUsage,pointingDevice,,,,,,,,
4/13/2018 8:43,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menuitem,1,1,start,FALSE,control,high,block2_half2,1,Fantasy
4/13/2018 8:43,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menu3,2,2,end,FALSE,control,high,block2_half2,2,Fantasy
4/13/2018 8:43,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menuitem,3,0,start,FALSE,fading,high,block1_half1,0,Almond
4/13/2018 8:43,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menu1,4,1,end,FALSE,fading,high,block1_half1,1,Almond
4/13/2018 8:43,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menuitem,5,1,start,FALSE,fading,high,block1_half1,1,Speed Skating
4/13/2018 8:43,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menu2,6,2,end,FALSE,fading,high,block1_half1,2,Speed Skating
4/13/2018 8:43,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menuitem,7,0,start,FALSE,fading,high,block1_half2,0,Pearl
4/13/2018 8:44,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menu1,8,1,end,FALSE,fading,high,block1_half2,1,Pearl
4/13/2018 8:44,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menuitem,9,1,start,FALSE,fading,high,block1_half2,1,Ontario
4/13/2018 8:44,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menu1,10,2,end,FALSE,fading,high,block1_half2,2,Ontario
4/13/2018 8:44,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menuitem,11,0,start,FALSE,control,high,block2_half1,0,Romance
4/13/2018 8:44,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menu3,12,1,end,FALSE,control,high,block2_half1,1,Romance
4/13/2018 8:44,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menuitem,13,1,start,FALSE,control,high,block2_half1,1,Goat
4/13/2018 8:44,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menu3,14,2,end,FALSE,control,high,block2_half1,2,Goat
4/13/2018 8:44,42,Windows-Chrome-845373074773119,1.52362E+12,mousedown,menuitem,15,0,start,FALSE,control,high,block2_half2,0,Convertible
,,,,,,,1,end,FALSE,control,high,block2_half2,1,Convertible
Gradual Likert Survey Data,,,,,,,1,start,FALSE,control,high,block2_half2,1,Compact
Timestamp,userID,uid,gradualLikert1,gradualLikert2,gradualLikert3,gradualLikert4,2,end,FALSE,control,high,block2_half2,2,Compact
4/12/2018 23:40,7,Windows-Chrome-029159661753526134,1,1,1,1,,,,,,,,
4/13/2018 8:33,6,Windows-Chrome-042448478737977524,1,1,1,1,,,,,,,,
4/13/2018 8:43,42,Windows-Chrome-845373074773119,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,
Basic Likert Survey Data,,,,,,,,,,,,,,
Timestamp,userID,uid,basicLikert1,basicLikert2,basicLikert3,basicLikert4,,,,,,,,
4/12/2018 23:41,7,Windows-Chrome-029159661753526134,7,7,7,7,,,,,,,,
4/13/2018 8:33,6,Windows-Chrome-042448478737977524,7,7,7,7,,,,,,,,
4/13/2018 8:44,42,Windows-Chrome-845373074773119,7,7,7,7,,,,,,,,
,,,,,,,,,,,,,,
Closing Survey Data,,,,,,,,,,,,,,
Timestamp,userID,uid,menuPref,,,,,,,,,,,
4/12/2018 23:41,7,Windows-Chrome-029159661753526134,basicMenu,,,,,,,,,,,
4/13/2018 8:34,6,Windows-Chrome-042448478737977524,basicMenu,,,,,,,,,,,
4/13/2018 8:44,42,Windows-Chrome-845373074773119,gradualOnset,,,,,,,,,,,
