Timestamp,userID,uid,time,name,targetID,clickNumber,currentTestNum,startOrEndEvent,wrongItemClick,currTestType,adaptiveAccuracy,currStage,currTestNum,currCorrectItem
4/13/2018 8:43:44,42,Windows-Chrome-845373074773119,1523623425048,mousedown,menu1,4,0,start,FALSE,fading,high,block1_half2,0,Pearl
4/13/2018 8:43:47,42,Windows-Chrome-845373074773119,1523623427898,mousedown,menuitem,5,1,end,FALSE,fading,high,block1_half2,1,Pearl
4/13/2018 8:43:48,42,Windows-Chrome-845373074773119,1523623428954,mousedown,menu2,6,1,start,FALSE,fading,high,block1_half2,1,Ontario
4/13/2018 8:43:49,42,Windows-Chrome-845373074773119,1523623430179,mousedown,menuitem,7,2,end,FALSE,fading,high,block1_half2,2,Ontario
4/13/2018 8:44:00,42,Windows-Chrome-845373074773119,1523623440795,mousedown,menu1,8,0,start,FALSE,control,high,block2_half1,0,Romance
4/13/2018 8:44:01,42,Windows-Chrome-845373074773119,1523623442377,mousedown,menuitem,9,1,end,FALSE,control,high,block2_half1,1,Romance
4/13/2018 8:44:03,42,Windows-Chrome-845373074773119,1523623443762,mousedown,menu1,10,1,start,FALSE,control,high,block2_half1,1,Goat
4/13/2018 8:44:04,42,Windows-Chrome-845373074773119,1523623444795,mousedown,menuitem,11,2,end,FALSE,control,high,block2_half1,2,Goat
4/13/2018 8:44:06,42,Windows-Chrome-845373074773119,1523623446811,mousedown,menu3,12,0,start,FALSE,control,high,block2_half2,0,Convertible
4/13/2018 8:44:07,42,Windows-Chrome-845373074773119,1523623447737,mousedown,menuitem,13,1,end,FALSE,control,high,block2_half2,1,Convertible
4/13/2018 8:44:08,42,Windows-Chrome-845373074773119,1523623448795,mousedown,menu3,14,1,start,FALSE,control,high,block2_half2,1,Compact
4/13/2018 8:44:09,42,Windows-Chrome-845373074773119,1523623450129,mousedown,menuitem,15,2,end,FALSE,control,high,block2_half2,2,Compact
