Timestamp,userID,uid,menuPref
4/12/2018 23:41:38,7,Windows-Chrome-029159661753526134,basicMenu
4/13/2018 8:34:02,6,Windows-Chrome-042448478737977524,basicMenu
4/13/2018 8:44:19,42,Windows-Chrome-845373074773119,gradualOnset
